time	landing_n	takeoff_n	group	n_mos	t_sampling
5.843866846840791	52	33	orl	40	30
6.588879971037522	44	26	orl	40	30
5.562958739697933	22	22	orl	40	30
5.801881466439348	36	45	orl	38	30
8.32154204156599	44	50	orl	40	30
5.053195946943015	30	47	orl	40	30
4.802173271309584	37	44	orl	40	30
6.884582985850142	31	27	orl	40	30
4.8389227771877	30	27	orl	39	30
2.5714794239299334	46	38	Ir140_17_het	38	30
5.63366939217936	44	44	Ir140_17_het	40	30
6.95901176427088	40	48	Ir140_17_het	40	30
4.808354866318405	45	37	Ir140_17_het	37	30
5.584699297614396	40	47	Ir140_17_het	40	30
6.79538246288469	34	52	Ir140_17_het	40	30
2.51184634687379	51	28	Ir140_17_het	40	30
4.738531446050707	41	33	Ir140_144_het	39	30
7.730488911122046	52	25	Ir140_144_het	39	30
5.933095622720551	20	49	Ir140_144_het	40	30
5.489631599723752	26	44	Ir140_144_het	40	30
6.1211046911293545	49	36	Ir140_144_het	37	30
5.776226678863869	42	39	Ir140_144_het	40	30
4.107500360785987	49	40	Ir140_144_het	40	30
6.7453336894512175	22	11	Ir140_17144_ko	39	30
4.134898195539391	17	17	Ir140_17144_ko	38	30
3.2862344923902427	10	24	Ir140_17144_ko	40	30
4.131873925239389	12	14	Ir140_17144_ko	40	30
2.7519157109993415	21	12	Ir140_17144_ko	39	30
5.946596435248311	12	28	Ir140_17144_ko	39	30
2.898356951794298	20	18	Ir140_17144_ko	40	30
5.964416314733255	12	18	Ir140_17144_ko	40	30
6.004264846843445	25	14	Ir140_17144_ko	40	30
